freq_khz,volume_l,L_wave_peak_amp_water,L_wave_time_ms_water,T_wave_peak_amp_water,T_wave_time_ms_water,L_wave_peakamp_air,L_wave_time_air_ms,T_wave_peakamp_air,T_wave_time_air_ms,L_Wave_RF,T_wave_RF,dtof_L_wave,dtof_T_wave
400,8,2.382692043,0.36879651,4.99696443,0.6444125,2.472675464,0.36900596,4.98801322,0.64446195,0.9636088835,1.001794544,0.00020945,-0.00004945
400,9,2.352751931,0.3687657,4.990709511,0.6444137,2.472675464,0.36900596,4.98801322,0.64446195,0.9515004962,1.000540554,0.00024026,-0.00004825
400,10,2.325937683,0.3687988,5.008077753,0.6444468,2.472675464,0.36900596,4.98801322,0.64446195,0.9406562714,1.00402255,0.00020716,-0.00001515
400,11,2.323019257,0.36879955,5.004762652,0.64444754,2.472675464,0.36900596,4.98801322,0.64446195,0.9394760012,1.003357937,0.00020641,-0.00001441
400,12,2.322589052,0.36870196,4.95597738,0.64439796,2.472675464,0.36900596,4.98801322,0.64446195,0.9393020175,0.9935774349,0.000304,-0.00006399
400,12.5,2.323819489,0.36870885,4.955400949,0.64439683,2.472675464,0.36900596,4.98801322,0.64446195,0.9397996309,0.9934618717,0.00029711,-0.00006512
400,13,2.312137769,0.36868558,4.985585682,0.64442156,2.472675464,0.36900596,4.98801322,0.64446195,0.9350753071,0.9995133257,0.00032038,-0.00004039
400,14,2.294033002,0.36865927,4.946220477,0.64439525,2.472675464,0.36900596,4.98801322,0.64446195,0.927753373,0.991621365,0.00034669,-0.0000667
400,15,2.289065842,0.36865966,4.926719764,0.64437164,2.472675464,0.36900596,4.98801322,0.64446195,0.9257445528,0.9877118499,0.0003463,-0.00009031
400,16,2.28830677,0.36870958,4.893905951,0.64434956,2.472675464,0.36900596,4.98801322,0.64446195,0.9254375686,0.9811333162,0.00029638,-0.00011239
400,18,2.245571249,0.36868369,4.893364186,0.64437167,2.472675464,0.36900596,4.98801322,0.64446195,0.9081544594,0.9810247028,0.00032227,-0.00009028
400,20,2.235511218,0.36853928,4.86544622,0.64434726,2.472675464,0.36900596,4.98801322,0.64446195,0.9040859793,0.9754276916,0.00046668,-0.00011469
400,22,2.204386267,0.36868555,4.846225367,0.64434953,2.472675464,0.36900596,4.98801322,0.64446195,0.8914984191,0.9715742828,0.00032041,-0.00011242
400,24,2.198589152,0.36858791,4.811324627,0.64432389,2.472675464,0.36900596,4.98801322,0.64446195,0.8891539485,0.9645773607,0.00041805,-0.00013806
400,26,2.175207717,0.36858707,4.801213157,0.64434705,2.472675464,0.36900596,4.98801322,0.64446195,0.879698023,0.962550207,0.00041889,-0.0001149
400,28,2.148701367,0.36856534,4.793336946,0.64432532,2.472675464,0.36900596,4.98801322,0.64446195,0.8689783184,0.9609711794,0.00044062,-0.00013663
400,30,2.125467117,0.36856486,4.776058489,0.64434884,2.472675464,0.36900596,4.98801322,0.64446195,0.8595819176,0.9575071834,0.0004411,-0.00011311
400,30.5,2.109647543,0.36854038,4.781942354,0.64437236,2.472675464,0.36900596,4.98801322,0.64446195,0.8531841617,0.9586867843,0.00046558,-0.00008959
400,31,2.109092154,0.36856522,4.772244098,0.6443732,2.472675464,0.36900596,4.98801322,0.64446195,0.8529595513,0.956742472,0.00044074,-0.00008875
400,31.5,2.122315858,0.36863721,5.045004586,0.64638919,2.472675464,0.36900596,4.98801322,0.64446195,0.8583074847,1.011425665,0.00036875,0.00192724
500,0.5,2.483349472,0.36906544,5.316189782,0.64452144,2.498323369,0.36898967,5.287542798,0.64450966,0.994006422,1.005417826,-0.00007577,0.00001178
500,1,2.486647361,0.36904913,5.317015341,0.64448912,2.498323369,0.36898967,5.287542798,0.64450966,0.9953264626,1.005573958,-0.00005946,-0.00002054
500,1.5,2.485982562,0.36905272,5.306471658,0.64449272,2.498323369,0.36898967,5.287542798,0.64450966,0.9950603648,1.003579897,-0.00006305,-0.00001694
500,2,2.4850127,0.36898963,5.292499961,0.64446162,2.498323369,0.36898967,5.287542798,0.64450966,0.9946721594,1.000937517,0.00000003999999998,-0.00004804
500,2.5,2.47290033,0.36878235,5.276092379,0.64444635,2.498323369,0.36898967,5.287542798,0.64450966,0.9898239598,0.9978344538,0.00020732,-0.00006331
